Interest,Skill,Language,Cert,Project
Cybersecurity,Beginner,Java,No,Network Scanner
Cybersecurity,Beginner,JavaScript,Yes,Full Stack App
Web,Intermediate,C++,No,Image Classifier
AI,Advanced,JavaScript,No,E-commerce Website
Data Science,Beginner,Python,No,Recommendation System
Data Science,Intermediate,C++,No,Fraud Detection
Web,Intermediate,JavaScript,Yes,Chatbot
Cybersecurity,Intermediate,Java,No,Sales Prediction
AI,Intermediate,C++,Yes,Full Stack App
Data Science,Intermediate,Java,Yes,Recommendation System
AI,Advanced,JavaScript,No,Stock Prediction
Data Science,Intermediate,Java,Yes,Network Scanner
Web,Beginner,C++,Yes,Portfolio Website
Cybersecurity,Beginner,Python,Yes,Portfolio Website
AI,Beginner,C++,No,AI Assistant
Data Science,Beginner,Java,Yes,Full Stack App
Web,Intermediate,C++,Yes,Voice Assistant
Data Science,Beginner,Java,Yes,Full Stack App
Web,Advanced,Python,No,E-commerce Website
Web,Advanced,JavaScript,No,Portfolio Website
AI,Advanced,JavaScript,Yes,Image Classifier
Web,Beginner,JavaScript,No,Full Stack App
Cybersecurity,Advanced,Java,Yes,Stock Prediction
Cybersecurity,Intermediate,JavaScript,Yes,Full Stack App
AI,Advanced,JavaScript,No,Full Stack App
Web,Advanced,JavaScript,Yes,Voice Assistant
AI,Advanced,Java,No,Fraud Detection
Cybersecurity,Advanced,JavaScript,Yes,AI Assistant
Cybersecurity,Beginner,Python,Yes,Recommendation System
Data Science,Intermediate,JavaScript,No,E-commerce Website
Web,Intermediate,Java,Yes,Chatbot
AI,Intermediate,Java,Yes,Network Scanner
Cybersecurity,Intermediate,Java,Yes,Sales Prediction
Data Science,Intermediate,JavaScript,No,E-commerce Website
Data Science,Advanced,Java,Yes,Sales Prediction
Cybersecurity,Beginner,JavaScript,Yes,Recommendation System
Data Science,Intermediate,Java,No,Stock Prediction
Cybersecurity,Intermediate,C++,Yes,Network Scanner
Cybersecurity,Advanced,Python,No,Portfolio Website
Data Science,Intermediate,Python,No,Sales Prediction
Data Science,Beginner,Python,Yes,Sales Prediction
AI,Advanced,C++,No,AI Assistant
Data Science,Advanced,Java,Yes,Recommendation System
Data Science,Advanced,C++,No,Voice Assistant
Web,Beginner,Java,No,Image Classifier
Web,Intermediate,JavaScript,Yes,Network Scanner
AI,Intermediate,Java,No,Voice Assistant
Web,Advanced,Python,No,Stock Prediction
Web,Beginner,C++,No,Sales Prediction
Cybersecurity,Advanced,Java,No,Portfolio Website
AI,Beginner,JavaScript,No,Sales Prediction
Cybersecurity,Advanced,C++,Yes,Fraud Detection
Web,Beginner,JavaScript,No,Stock Prediction
AI,Intermediate,Python,Yes,E-commerce Website
AI,Beginner,C++,No,Voice Assistant
Cybersecurity,Beginner,JavaScript,No,AI Assistant
Web,Beginner,JavaScript,Yes,Portfolio Website
Web,Beginner,C++,Yes,Voice Assistant
Data Science,Beginner,JavaScript,No,E-commerce Website
Cybersecurity,Beginner,JavaScript,No,Chatbot
Data Science,Intermediate,Java,Yes,Image Classifier
Web,Advanced,Python,No,E-commerce Website
Web,Intermediate,C++,No,Recommendation System
Web,Beginner,Java,No,Recommendation System
Web,Advanced,C++,Yes,Stock Prediction
Cybersecurity,Intermediate,Java,No,Full Stack App
Cybersecurity,Beginner,C++,No,Full Stack App
Web,Beginner,Python,Yes,AI Assistant
Web,Intermediate,Java,Yes,Chatbot
Web,Beginner,Python,No,Fraud Detection
AI,Beginner,Java,No,Portfolio Website
Cybersecurity,Intermediate,Java,No,Fraud Detection
Cybersecurity,Advanced,JavaScript,Yes,Voice Assistant
Web,Beginner,Python,No,Network Scanner
AI,Beginner,C++,Yes,Stock Prediction
Data Science,Intermediate,JavaScript,No,AI Assistant
Web,Beginner,C++,No,Image Classifier
Web,Beginner,Python,No,Full Stack App
AI,Beginner,JavaScript,No,Fraud Detection
Cybersecurity,Intermediate,Java,No,Full Stack App
Web,Beginner,JavaScript,No,Chatbot
Data Science,Advanced,JavaScript,No,AI Assistant
Web,Beginner,Java,No,Recommendation System
Data Science,Beginner,Python,Yes,Chatbot
Cybersecurity,Advanced,C++,No,Image Classifier
Web,Beginner,JavaScript,Yes,Sales Prediction
Web,Advanced,Python,No,Portfolio Website
Web,Beginner,Python,Yes,Recommendation System
Web,Beginner,C++,No,AI Assistant
Cybersecurity,Advanced,JavaScript,No,Full Stack App
AI,Advanced,Java,No,E-commerce Website
Data Science,Intermediate,Java,Yes,Recommendation System
Data Science,Beginner,Python,No,Chatbot
Cybersecurity,Beginner,Java,No,Chatbot
Web,Intermediate,C++,Yes,Network Scanner
Cybersecurity,Intermediate,JavaScript,No,Full Stack App
Web,Advanced,C++,Yes,Voice Assistant
Data Science,Beginner,C++,Yes,Image Classifier
Cybersecurity,Advanced,C++,No,Recommendation System
Cybersecurity,Advanced,Python,No,Network Scanner
Data Science,Beginner,C++,Yes,AI Assistant
Cybersecurity,Intermediate,Python,Yes,Network Scanner
Data Science,Intermediate,JavaScript,No,Recommendation System
Data Science,Intermediate,JavaScript,No,Sales Prediction
Cybersecurity,Advanced,JavaScript,Yes,Recommendation System
Web,Beginner,C++,Yes,E-commerce Website
Cybersecurity,Intermediate,Python,No,Network Scanner
Data Science,Beginner,C++,No,Voice Assistant
Data Science,Intermediate,JavaScript,Yes,Fraud Detection
Web,Advanced,C++,Yes,Voice Assistant
Web,Beginner,Java,Yes,Network Scanner
Data Science,Beginner,Java,Yes,Portfolio Website
Data Science,Intermediate,JavaScript,No,Image Classifier
Web,Intermediate,C++,Yes,Fraud Detection
Web,Intermediate,C++,No,Network Scanner
AI,Intermediate,JavaScript,Yes,Fraud Detection
Web,Beginner,JavaScript,Yes,Full Stack App
Data Science,Intermediate,JavaScript,No,Recommendation System
Data Science,Advanced,C++,Yes,Network Scanner
AI,Beginner,C++,No,Full Stack App
Data Science,Intermediate,Java,No,Stock Prediction
Cybersecurity,Advanced,Java,No,Full Stack App
Web,Advanced,Python,Yes,Full Stack App
Data Science,Advanced,Java,No,Network Scanner
Web,Advanced,Java,Yes,Network Scanner
AI,Beginner,Python,No,Chatbot
AI,Intermediate,Java,Yes,E-commerce Website
Web,Beginner,JavaScript,No,Recommendation System
Cybersecurity,Intermediate,Python,No,Portfolio Website
Web,Beginner,Java,No,Stock Prediction
Cybersecurity,Intermediate,Python,No,E-commerce Website
Cybersecurity,Beginner,JavaScript,No,E-commerce Website
Cybersecurity,Advanced,JavaScript,Yes,Fraud Detection
Web,Intermediate,JavaScript,Yes,Sales Prediction
Data Science,Advanced,JavaScript,Yes,Image Classifier
Web,Advanced,JavaScript,Yes,AI Assistant
Web,Advanced,C++,No,Image Classifier
Web,Advanced,Java,No,Stock Prediction
Cybersecurity,Beginner,Python,No,Recommendation System
Data Science,Intermediate,JavaScript,Yes,E-commerce Website
AI,Advanced,Java,No,Chatbot
Web,Advanced,Python,No,Fraud Detection
Web,Advanced,Python,Yes,Portfolio Website
AI,Intermediate,Python,No,E-commerce Website
Web,Advanced,Java,No,Recommendation System
Web,Beginner,JavaScript,No,Image Classifier
Cybersecurity,Advanced,Java,No,Chatbot
Cybersecurity,Beginner,Python,Yes,Image Classifier
Data Science,Intermediate,Java,Yes,Portfolio Website
Cybersecurity,Beginner,C++,No,Network Scanner
Web,Intermediate,C++,No,Chatbot
Data Science,Advanced,Python,Yes,Stock Prediction
Web,Intermediate,JavaScript,No,Network Scanner
Cybersecurity,Beginner,Python,No,E-commerce Website
Web,Beginner,Python,Yes,Voice Assistant
AI,Intermediate,Java,No,E-commerce Website
Cybersecurity,Intermediate,C++,No,Full Stack App
AI,Intermediate,C++,No,Portfolio Website
Cybersecurity,Beginner,C++,Yes,Portfolio Website
Web,Advanced,JavaScript,Yes,Recommendation System
AI,Advanced,C++,Yes,Fraud Detection
Web,Intermediate,JavaScript,No,Fraud Detection
Cybersecurity,Advanced,C++,Yes,E-commerce Website
Data Science,Beginner,C++,Yes,Full Stack App
Data Science,Beginner,Java,Yes,Stock Prediction
Web,Intermediate,JavaScript,Yes,AI Assistant
Web,Beginner,C++,No,Chatbot
Data Science,Beginner,JavaScript,No,E-commerce Website
Data Science,Beginner,Python,No,Recommendation System
Cybersecurity,Advanced,Python,No,Stock Prediction
Cybersecurity,Advanced,C++,Yes,Network Scanner
Data Science,Intermediate,Python,Yes,Network Scanner
Cybersecurity,Intermediate,JavaScript,Yes,Image Classifier
Data Science,Beginner,Java,No,Image Classifier
Web,Intermediate,C++,Yes,Sales Prediction
Cybersecurity,Beginner,Java,Yes,AI Assistant
AI,Intermediate,C++,Yes,Portfolio Website
Data Science,Intermediate,Java,Yes,Portfolio Website
AI,Advanced,C++,Yes,Chatbot
Data Science,Beginner,Java,No,Chatbot
Web,Intermediate,Java,No,Chatbot
Web,Beginner,Java,No,Full Stack App
AI,Intermediate,C++,Yes,Chatbot
Web,Advanced,Java,No,Portfolio Website
Web,Advanced,JavaScript,Yes,Chatbot
Cybersecurity,Advanced,JavaScript,Yes,Recommendation System
Web,Beginner,Java,No,Image Classifier
Data Science,Beginner,Python,Yes,Voice Assistant
Web,Intermediate,C++,No,Fraud Detection
Web,Advanced,C++,No,Portfolio Website
Web,Intermediate,Java,Yes,Voice Assistant
AI,Advanced,JavaScript,No,Voice Assistant
AI,Beginner,C++,No,AI Assistant
AI,Advanced,C++,No,Network Scanner
Web,Intermediate,Java,Yes,Sales Prediction
Cybersecurity,Intermediate,Java,No,Image Classifier
Cybersecurity,Advanced,C++,Yes,Network Scanner
AI,Advanced,Java,No,Portfolio Website
Web,Advanced,JavaScript,Yes,Image Classifier
Cybersecurity,Beginner,JavaScript,Yes,Sales Prediction
AI,Intermediate,JavaScript,Yes,Stock Prediction
Data Science,Advanced,Python,No,Voice Assistant
AI,Beginner,Python,No,Sales Prediction
Cybersecurity,Advanced,C++,No,Chatbot
Cybersecurity,Advanced,Python,No,Sales Prediction
Cybersecurity,Advanced,Python,No,AI Assistant
AI,Beginner,Java,Yes,Chatbot
AI,Intermediate,C++,Yes,E-commerce Website
AI,Advanced,Python,No,Sales Prediction
Data Science,Beginner,JavaScript,Yes,Image Classifier
Data Science,Beginner,Java,No,Chatbot
Web,Beginner,C++,No,AI Assistant
Cybersecurity,Intermediate,Java,Yes,Portfolio Website
Data Science,Intermediate,Python,Yes,Stock Prediction
Cybersecurity,Intermediate,C++,No,Sales Prediction
Web,Intermediate,Python,No,E-commerce Website
Web,Advanced,C++,Yes,Chatbot
AI,Advanced,Java,Yes,Image Classifier
Web,Advanced,Java,Yes,Image Classifier
Data Science,Beginner,Python,No,Sales Prediction
AI,Advanced,Python,Yes,E-commerce Website
Data Science,Intermediate,C++,No,E-commerce Website
Web,Beginner,Python,Yes,Full Stack App
AI,Advanced,Java,Yes,Image Classifier
Cybersecurity,Advanced,Java,No,E-commerce Website
Data Science,Advanced,JavaScript,No,Full Stack App
Data Science,Intermediate,Python,Yes,Fraud Detection
Web,Advanced,C++,No,Chatbot
AI,Beginner,Python,Yes,Portfolio Website
AI,Beginner,Python,Yes,Fraud Detection
AI,Advanced,C++,No,Recommendation System
AI,Beginner,Java,No,Network Scanner
Data Science,Beginner,Java,No,Sales Prediction
Cybersecurity,Beginner,Java,No,Portfolio Website
Web,Beginner,JavaScript,Yes,Stock Prediction
Data Science,Intermediate,Python,Yes,Recommendation System
Data Science,Beginner,C++,No,Network Scanner
Data Science,Intermediate,JavaScript,No,Voice Assistant
Web,Advanced,Java,No,Portfolio Website
Data Science,Beginner,Java,Yes,Portfolio Website
Web,Intermediate,JavaScript,No,Image Classifier
AI,Intermediate,Python,Yes,Portfolio Website
Data Science,Advanced,Python,Yes,E-commerce Website
Cybersecurity,Advanced,Python,Yes,Full Stack App
Web,Advanced,JavaScript,Yes,Recommendation System
Cybersecurity,Advanced,Python,No,E-commerce Website
Data Science,Intermediate,Python,No,Fraud Detection
Web,Beginner,C++,Yes,Full Stack App
AI,Intermediate,JavaScript,Yes,Portfolio Website
Data Science,Beginner,Python,Yes,AI Assistant
AI,Intermediate,C++,Yes,Fraud Detection
AI,Beginner,Java,No,Fraud Detection
Data Science,Advanced,Java,No,Fraud Detection
Web,Intermediate,Java,Yes,Voice Assistant
Data Science,Intermediate,C++,No,Portfolio Website
Data Science,Intermediate,Python,Yes,Voice Assistant
Data Science,Beginner,Java,Yes,Image Classifier
Cybersecurity,Intermediate,JavaScript,No,E-commerce Website
Cybersecurity,Beginner,C++,Yes,Fraud Detection
Web,Advanced,Python,No,Voice Assistant
Web,Advanced,C++,No,Portfolio Website
Data Science,Advanced,Python,Yes,E-commerce Website
Web,Beginner,Python,Yes,Image Classifier
Data Science,Advanced,JavaScript,Yes,Sales Prediction
AI,Advanced,C++,Yes,E-commerce Website
AI,Intermediate,Java,No,Stock Prediction
Cybersecurity,Intermediate,C++,Yes,AI Assistant
AI,Advanced,Python,Yes,Chatbot
AI,Intermediate,Python,No,Network Scanner
AI,Intermediate,C++,Yes,Recommendation System
AI,Advanced,JavaScript,No,Stock Prediction
Data Science,Intermediate,Python,No,Portfolio Website
AI,Advanced,JavaScript,No,Fraud Detection
Web,Advanced,Python,No,E-commerce Website
Data Science,Beginner,Python,Yes,Image Classifier
AI,Advanced,C++,No,AI Assistant
AI,Beginner,C++,Yes,Voice Assistant
Cybersecurity,Beginner,Python,Yes,Recommendation System
Web,Intermediate,Java,Yes,Stock Prediction
Cybersecurity,Advanced,JavaScript,No,Sales Prediction
Web,Intermediate,C++,No,Recommendation System
AI,Beginner,Python,Yes,Voice Assistant
Cybersecurity,Beginner,Java,Yes,Voice Assistant
Web,Beginner,Java,Yes,Fraud Detection
Cybersecurity,Intermediate,Java,No,Sales Prediction
AI,Advanced,JavaScript,No,Chatbot
Cybersecurity,Advanced,C++,Yes,Portfolio Website
Web,Beginner,Java,Yes,AI Assistant
Cybersecurity,Advanced,C++,Yes,Network Scanner
Data Science,Beginner,Java,No,Portfolio Website
Cybersecurity,Intermediate,Java,Yes,Network Scanner
Cybersecurity,Beginner,C++,Yes,Fraud Detection
Data Science,Intermediate,Java,Yes,Sales Prediction
Web,Beginner,Java,No,Network Scanner
Web,Advanced,C++,Yes,Stock Prediction
Cybersecurity,Beginner,C++,Yes,Voice Assistant
Data Science,Beginner,Python,No,Chatbot
AI,Intermediate,C++,No,Portfolio Website
AI,Advanced,Python,No,Sales Prediction
Web,Advanced,JavaScript,Yes,Stock Prediction
Data Science,Intermediate,JavaScript,No,Stock Prediction
Cybersecurity,Advanced,JavaScript,Yes,Fraud Detection
AI,Beginner,C++,No,Stock Prediction
Web,Beginner,Java,No,Portfolio Website
Cybersecurity,Advanced,JavaScript,No,Portfolio Website
AI,Beginner,Python,No,Portfolio Website
Web,Advanced,Python,Yes,Recommendation System
AI,Advanced,JavaScript,No,AI Assistant
Cybersecurity,Advanced,JavaScript,Yes,Recommendation System
Data Science,Intermediate,JavaScript,No,Voice Assistant
Cybersecurity,Intermediate,C++,Yes,Network Scanner
AI,Intermediate,JavaScript,Yes,Full Stack App
Web,Beginner,C++,No,E-commerce Website
Cybersecurity,Advanced,Python,Yes,Fraud Detection
Web,Advanced,JavaScript,No,Full Stack App
Web,Advanced,JavaScript,No,Full Stack App
Web,Intermediate,C++,Yes,Voice Assistant
Web,Intermediate,Java,No,Network Scanner
Web,Intermediate,JavaScript,Yes,Full Stack App
AI,Intermediate,C++,Yes,AI Assistant
Web,Beginner,Python,Yes,AI Assistant
Cybersecurity,Intermediate,JavaScript,No,Chatbot
Cybersecurity,Advanced,Python,No,Voice Assistant
Data Science,Intermediate,Python,No,E-commerce Website
AI,Intermediate,C++,Yes,E-commerce Website
AI,Advanced,Java,Yes,Full Stack App
Data Science,Intermediate,JavaScript,Yes,Chatbot
AI,Intermediate,Python,Yes,Sales Prediction
Cybersecurity,Intermediate,Java,Yes,Chatbot
AI,Beginner,Python,No,E-commerce Website
Web,Intermediate,C++,No,Recommendation System
Data Science,Intermediate,C++,No,Portfolio Website
Cybersecurity,Advanced,C++,No,Voice Assistant
Web,Advanced,JavaScript,Yes,AI Assistant
Cybersecurity,Advanced,C++,No,Network Scanner
Web,Advanced,Python,No,AI Assistant
Data Science,Advanced,Python,No,Recommendation System
Cybersecurity,Beginner,C++,Yes,Image Classifier
Web,Beginner,C++,Yes,Stock Prediction
Web,Beginner,JavaScript,Yes,Chatbot
Web,Advanced,Python,Yes,Recommendation System
Data Science,Intermediate,C++,No,AI Assistant
Web,Advanced,Python,Yes,Chatbot
Web,Intermediate,JavaScript,No,Network Scanner
Data Science,Advanced,Java,Yes,Image Classifier
AI,Intermediate,Java,Yes,E-commerce Website
Data Science,Intermediate,C++,No,Sales Prediction
Cybersecurity,Intermediate,Java,No,Recommendation System
Web,Beginner,Java,Yes,Portfolio Website
Cybersecurity,Beginner,C++,Yes,Full Stack App
Web,Intermediate,C++,No,Fraud Detection
AI,Intermediate,Python,Yes,Portfolio Website
AI,Beginner,JavaScript,No,Image Classifier
Cybersecurity,Advanced,Java,No,Image Classifier
Cybersecurity,Advanced,Python,No,E-commerce Website
Web,Advanced,Java,No,Recommendation System
Web,Advanced,C++,Yes,Voice Assistant
Data Science,Beginner,Python,No,AI Assistant
AI,Intermediate,JavaScript,Yes,Image Classifier
Cybersecurity,Beginner,C++,No,Full Stack App
Data Science,Advanced,JavaScript,Yes,Chatbot
AI,Intermediate,JavaScript,No,Image Classifier
Cybersecurity,Intermediate,Python,No,Fraud Detection
Cybersecurity,Advanced,JavaScript,No,Recommendation System
Data Science,Beginner,C++,No,Network Scanner
AI,Beginner,Java,Yes,Voice Assistant
AI,Beginner,Java,No,Chatbot
AI,Beginner,Python,Yes,Portfolio Website
Web,Beginner,Java,No,AI Assistant
Cybersecurity,Intermediate,Java,No,Network Scanner
AI,Intermediate,Java,Yes,AI Assistant
Web,Intermediate,C++,No,Stock Prediction
AI,Intermediate,Python,No,Stock Prediction
Cybersecurity,Advanced,JavaScript,Yes,Full Stack App
Cybersecurity,Intermediate,C++,Yes,Network Scanner
Web,Beginner,Python,No,Portfolio Website
Web,Beginner,Java,Yes,Portfolio Website
Data Science,Beginner,JavaScript,Yes,Image Classifier
AI,Intermediate,Python,Yes,Sales Prediction
Cybersecurity,Beginner,C++,No,Sales Prediction
Data Science,Intermediate,JavaScript,Yes,Stock Prediction
AI,Advanced,JavaScript,No,Full Stack App
Web,Advanced,C++,No,Full Stack App
Web,Intermediate,Java,Yes,Portfolio Website
Data Science,Advanced,Java,Yes,Voice Assistant
AI,Advanced,Java,Yes,Fraud Detection
AI,Intermediate,Python,Yes,Sales Prediction
AI,Advanced,Java,No,Network Scanner
Web,Beginner,Python,No,Network Scanner
Web,Intermediate,Java,No,Network Scanner
AI,Intermediate,JavaScript,Yes,Recommendation System
Web,Intermediate,JavaScript,No,Portfolio Website
Cybersecurity,Intermediate,Python,No,AI Assistant
Web,Intermediate,Python,No,Chatbot
Cybersecurity,Advanced,JavaScript,Yes,Sales Prediction
Cybersecurity,Beginner,Java,Yes,Full Stack App
Cybersecurity,Beginner,JavaScript,Yes,Voice Assistant
AI,Beginner,JavaScript,Yes,Stock Prediction
Data Science,Intermediate,Java,No,AI Assistant
Data Science,Advanced,Java,No,Image Classifier
Cybersecurity,Beginner,JavaScript,No,Fraud Detection
Cybersecurity,Intermediate,Java,Yes,Full Stack App
Data Science,Intermediate,Python,No,Chatbot
Web,Beginner,Java,Yes,AI Assistant
Data Science,Intermediate,JavaScript,No,Sales Prediction
AI,Beginner,JavaScript,No,Image Classifier
Data Science,Beginner,Java,No,Fraud Detection
AI,Beginner,Java,No,Sales Prediction
Data Science,Beginner,JavaScript,Yes,Recommendation System
Cybersecurity,Beginner,C++,No,AI Assistant
Data Science,Intermediate,JavaScript,Yes,Fraud Detection
AI,Advanced,Java,Yes,Image Classifier
Web,Intermediate,JavaScript,No,Stock Prediction
Cybersecurity,Advanced,Python,No,Full Stack App
Web,Beginner,Java,No,AI Assistant
AI,Beginner,Java,No,Sales Prediction
Web,Advanced,Python,No,Fraud Detection
Web,Advanced,C++,Yes,Sales Prediction
AI,Advanced,C++,Yes,Voice Assistant
AI,Advanced,JavaScript,Yes,Voice Assistant
Cybersecurity,Intermediate,JavaScript,Yes,Chatbot
Cybersecurity,Intermediate,Java,Yes,Voice Assistant
Cybersecurity,Advanced,JavaScript,Yes,Chatbot
Web,Beginner,Python,No,Network Scanner
Data Science,Intermediate,C++,No,Voice Assistant
AI,Advanced,JavaScript,Yes,Sales Prediction
Web,Intermediate,JavaScript,Yes,Fraud Detection
Web,Intermediate,Java,Yes,E-commerce Website
Data Science,Beginner,Python,No,Recommendation System
Web,Advanced,C++,No,Stock Prediction
Web,Advanced,JavaScript,No,E-commerce Website
AI,Beginner,Java,Yes,Stock Prediction
Cybersecurity,Intermediate,JavaScript,Yes,Voice Assistant
Data Science,Intermediate,JavaScript,No,Fraud Detection
Cybersecurity,Advanced,Python,No,AI Assistant
Data Science,Advanced,C++,Yes,E-commerce Website
Web,Intermediate,JavaScript,Yes,Image Classifier
Web,Intermediate,JavaScript,Yes,Sales Prediction
Web,Intermediate,Java,Yes,Fraud Detection
Cybersecurity,Beginner,JavaScript,No,Portfolio Website
Web,Advanced,C++,No,Chatbot
AI,Advanced,Java,Yes,AI Assistant
Web,Advanced,JavaScript,No,Network Scanner
Data Science,Intermediate,C++,No,Portfolio Website
Cybersecurity,Intermediate,JavaScript,Yes,Network Scanner
Web,Advanced,C++,No,Image Classifier
Cybersecurity,Beginner,C++,No,Chatbot
Web,Intermediate,Java,Yes,E-commerce Website
AI,Beginner,Python,Yes,Fraud Detection
AI,Beginner,Java,Yes,Voice Assistant
Web,Beginner,C++,Yes,Portfolio Website
Cybersecurity,Advanced,C++,Yes,Fraud Detection
Data Science,Intermediate,Java,No,Image Classifier
Data Science,Intermediate,C++,No,Chatbot
Data Science,Beginner,C++,No,Fraud Detection
Web,Advanced,JavaScript,Yes,AI Assistant
Data Science,Intermediate,Python,No,AI Assistant
Web,Advanced,C++,No,AI Assistant
Web,Intermediate,Python,No,E-commerce Website
Data Science,Intermediate,C++,No,Chatbot
Cybersecurity,Beginner,Java,Yes,Chatbot
Cybersecurity,Advanced,Java,No,Recommendation System
Web,Intermediate,Java,Yes,E-commerce Website
AI,Intermediate,C++,No,Recommendation System
AI,Advanced,JavaScript,Yes,Fraud Detection
Cybersecurity,Beginner,Java,No,Sales Prediction
Data Science,Beginner,Java,Yes,Stock Prediction
Web,Intermediate,Java,No,Full Stack App
Data Science,Intermediate,JavaScript,Yes,Recommendation System
AI,Advanced,C++,Yes,AI Assistant
Cybersecurity,Beginner,Python,No,Voice Assistant
Web,Intermediate,C++,No,Stock Prediction
AI,Intermediate,JavaScript,No,Chatbot
Data Science,Advanced,JavaScript,Yes,Fraud Detection
Cybersecurity,Beginner,JavaScript,No,Fraud Detection
AI,Intermediate,Python,Yes,Network Scanner
Web,Beginner,JavaScript,No,E-commerce Website
Data Science,Advanced,Python,Yes,Image Classifier
Data Science,Intermediate,C++,No,AI Assistant
AI,Intermediate,Python,No,Portfolio Website
Web,Intermediate,C++,Yes,Image Classifier
AI,Beginner,JavaScript,Yes,Chatbot
Data Science,Advanced,Python,Yes,Recommendation System
AI,Advanced,Python,Yes,Fraud Detection
Cybersecurity,Beginner,JavaScript,Yes,Network Scanner
Web,Intermediate,Python,Yes,Portfolio Website
Data Science,Beginner,Java,No,Image Classifier
AI,Advanced,Java,No,Chatbot
AI,Beginner,C++,Yes,AI Assistant
Cybersecurity,Beginner,Java,Yes,Chatbot
Web,Beginner,JavaScript,Yes,Recommendation System
Data Science,Intermediate,Java,No,Sales Prediction
Data Science,Beginner,Python,No,AI Assistant
Data Science,Advanced,Python,No,Stock Prediction
Web,Beginner,JavaScript,No,Recommendation System
Data Science,Advanced,Java,No,Chatbot
AI,Beginner,JavaScript,Yes,Voice Assistant
Web,Beginner,C++,Yes,AI Assistant
Web,Intermediate,JavaScript,Yes,Portfolio Website
AI,Advanced,C++,No,Portfolio Website
